studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr1,incr2,study_id,short_name,major_bleeding_definition,follow_up_locked,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,studlab.orig,ready,arm_label1,arm_label2,node1,node2,n_randomized_or_analyzed1,n_randomized_or_analyzed2,risk_mapping_v0.21,risk_mapping_v0.22,death_7d_n1,death_7d_n2,death_followup_n1,death_followup_n2,clinical_deterioration_n1,clinical_deterioration_n2,primary_clinical_composite_n1,primary_clinical_composite_n2,major_bleeding_n1,major_bleeding_n2,intracranial_hemorrhage_n1,intracranial_hemorrhage_n2,recurrent_pe_n1,recurrent_pe_n2,rv_lv_or_rv_recovery_locked1,rv_lv_or_rv_recovery_locked2,locked_status_v0.21,locked_status_v0.22,source_note_v0.21,source_note_v0.22,event.orig1,event.orig2,n.orig1,n.orig2,treat.orig1,treat.orig2
TOPCOAT_2014,ST,AC,0.074107972153721835,1.4315902170141248,1,40,1,43,0,0,TOPCOAT_2014,TOPCOAT,Author-defined major bleeding,5 days and 90 days,yes,sensitivity,yes,yes,TOPCOAT_2014,TRUE,Tenecteplase,Placebo + anticoagulation,ST,AC,40,43,intermediate-risk; mixed low/intermediate-high features,intermediate-risk; mixed low/intermediate-high features,NA,NA,1,1,1,3,6,16,1,0,1,0,NA,NA,NA,NA,core locked; outcome harmonization needed,core locked; outcome harmonization needed,Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.,"Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days.",1,1,40,43,ST,AC
ULTIMA_2014,USCDT,AC,-1.1664348850068706,1.653644844339562,0,30,1,29,0.5,0.5,ULTIMA_2014,ULTIMA,Author-defined major bleeding,90 days,yes,yes,yes,yes,ULTIMA_2014,TRUE,USAT/USCDT + UFH,UFH alone,USCDT,AC,30,29,intermediate-risk by RV/LV >=1; biomarker not required,intermediate-risk by RV/LV >=1; biomarker not required,NA,NA,0,1,0,0,NA,NA,0,0,0,0,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,core locked,core locked,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.","Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,1,30,29,USCDT,AC
PEITHO_2014,ST,AC,-0.3102009359871308,0.38720539537311494,12,506,16,499,0,0,PEITHO_2014,PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,PEITHO_2014,TRUE,Tenecteplase + heparin,Placebo + heparin,ST,AC,506,499,intermediate-high PE: RV dysfunction + positive troponin,intermediate-high PE: RV dysfunction + positive troponin,6,9,12,16,8,25,13,28,58,12,10,1,NA,NA,NA,NA,core locked,core locked,"Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.","Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",12,16,506,499,ST,AC
CANARY_2022,CDT,AC,-2.0547130089041126,1.5262114362572583,0,48,3,46,0.5,0.5,CANARY_2022,CANARY,BARC type 3 or 5,72h and 3 months,yes,sensitivity,yes,no,CANARY_2022,TRUE,cCDT + anticoagulation,Anticoagulation,CDT,AC,48,46,intermediate-high PE,intermediate-high PE,NA,NA,0,3,NA,NA,2,8,1,0,NA,NA,NA,NA,72h RV/LV>0.9: 13/48; 3mo RV/LV>0.9: 2/46; unrecovered RV 3/46,72h RV/LV>0.9: 24/46; 3mo RV/LV>0.9: 5/39; unrecovered RV 11/39,core locked for death/bleeding/RV; ICH not separately reported,core locked for death/bleeding/RV; ICH not separately reported,Table 2: 3mo all-cause mortality 0/48; composite mortality or primary outcome 2/48; BARC 3/5 1/48.,Table 2: 3mo all-cause mortality 3/46; composite mortality or primary outcome 8/46; BARC 3/5 0.,0,3,48,46,CDT,AC
PEERLESS_2025,LBAT,CDT,-0.6894908693568348,1.2277266139900609,1,274,2,276,0,0,PEERLESS_2025,PEERLESS,Author-defined major bleeding,discharge/7 days and 30 days,yes,yes,yes,yes,PEERLESS_2025,TRUE,FlowTriever LBMT,CDT mixed,LBAT,CDT,274,276,"intermediate-risk, mostly intermediate-high","intermediate-risk, mostly intermediate-high",0,1,1,2,5,15,NA,NA,19,19,2,1,NA,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h,Mean RV/LV reduction 0.30+/-0.26 at 24h,core locked; CDT comparator is mixed,"core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT","Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%.",Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.,1,2,274,276,LBAT,CDT
STRATIFY_2026,USCDT,AC,1.6094379124341003,1.5584533930847166,2,71,0,69,0.5,0.5,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,USAT low-dose alteplase,Heparin alone,USCDT,AC,71,69,intermediate-high PE by ESC criteria,intermediate-high PE by ESC criteria,2,0,2,0,1,2,NA,NA,6,1,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,2,0,71,69,USCDT,AC
STRATIFY_2026,USCDT,ST,-0.6319114698110571,0.8072473632139145,2,71,4,70,0.5,0.5,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,USAT low-dose alteplase,IV low-dose alteplase,USCDT,ST,71,70,intermediate-high PE by ESC criteria,intermediate-high PE by ESC criteria; low-dose ST sensitivity,2,0,2,4,1,2,NA,NA,6,6,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,2,4,71,70,USCDT,ST
STRATIFY_2026,ST,AC,2.2413493822451573,1.5005493345491234,4,70,0,69,0.5,0.5,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,IV low-dose alteplase,Heparin alone,ST,AC,70,69,intermediate-high PE by ESC criteria; low-dose ST sensitivity,intermediate-high PE by ESC criteria,0,0,4,0,2,2,NA,NA,6,1,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,4,0,70,69,ST,AC
HI_PEITHO_2026,USCDT,AC,0.5108256237659907,0.7353883463181188,5,273,3,271,0,0,HI_PEITHO_2026,HI-PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,HI_PEITHO_2026,TRUE,USCDT + AC,AC alone,USCDT,AC,273,271,acute intermediate-risk PE with cardiorespiratory distress,acute intermediate-risk PE with cardiorespiratory distress,3,2,5,3,10,28,11,28,11,8,0,0,1,2,NA,NA,core locked,core locked,"Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.","Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3.",5,3,273,271,USCDT,AC
MAPPET3_2002,ST,AC,0.4567584024957149,0.774282035543446,4,118,3,138,0,0,MAPPET3_2002,MAPPET-3,Author-defined major bleeding,in-hospital or day 30,yes,yes,yes,yes,MAPPET3_2002,TRUE,Heparin + alteplase,Heparin + placebo,ST,AC,118,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required","submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,NA,4,3,12,34,13,34,1,5,0,0,4,4,NA,NA,core locked,core locked,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.","Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",4,3,118,138,ST,AC
FASULLO_2011,ST,AC,-2.60450952216137,1.4970877508452036,0,37,5,35,0.5,0.5,FASULLO_2011,Fasullo 2011,Author-defined major bleeding,10 days and 180 days,yes,yes,yes,yes,FASULLO_2011,TRUE,Thrombolysis + heparin,Heparin/placebo,ST,AC,37,35,submassive PE with RVD; biomarker mixed/unclear,submassive PE with RVD; biomarker mixed/unclear,NA,NA,0,5,0,2,NA,NA,2,1,0,0,0,4,RV function improved earlier; detailed echo table locked in source,NA,core locked,core locked,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.","Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",0,5,37,35,ST,AC
SINHA_2017,ST,AC,-0.09763846956391606,1.024156647976526,2,45,2,41,0,0,SINHA_2017,Sinha 2017,Author-defined major bleeding,7 and 30 days,yes,yes,yes,yes,SINHA_2017,TRUE,Tenecteplase + UFH,Placebo + UFH,ST,AC,45,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,2,2,8,2,8,1,1,1,0,2,1,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,core locked,core locked,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.","Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",2,2,45,41,ST,AC
ZHANG_2018,ST,AC,NA,NA,0,33,0,33,0,0,ZHANG_2018,Zhang 2018,Author-defined major bleeding,90 days,yes,yes,yes,yes,ZHANG_2018,TRUE,Low-dose rt-PA + LMWH,LMWH,ST,AC,33,33,acute intermediate-risk PE; low-dose ST sensitivity,acute intermediate-risk PE,NA,NA,0,0,0,3,NA,NA,0,0,0,0,1,2,1.26+/-0.22 to 0.96+/-0.18 at 24h,1.22+/-0.19 to 1.17+/-0.21 at 24h,core locked,core locked,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.,0,0,33,33,ST,AC
