study_id,arm_label,node,n_randomized,death,clinical_deterioration_or_primary_clinical,major_bleeding,intracranial_hemorrhage,recurrent_pe,rv_lv_or_rv_recovery,follow_up,notes
TOPCOAT_2014,Tenecteplase,ST,40,1 fatal ICH-related death? verify,Composite adverse outcome: fewer than placebo; exact event count to verify,hemorrhagic events reported; exact major count to verify,1 fatal ICH,included in composite; exact count to verify,RV strain/function at 3 months; exact values to extract,3 months,Do not use mortality count until table checked
TOPCOAT_2014,Placebo + anticoagulation,AC,43,0? verify,Composite adverse outcomes: 3 placebo-treated patients in abstract,NR,0 reported in abstract,included in composite; exact count to verify,RV strain/function at 3 months; exact values to extract,3 months,Original TOPCOAT
ULTIMA_2014,USAT/USCDT + UFH,USCDT,30,0,NR,0,0,0 recurrent VTE,RV/LV 1.28±0.19 to 0.99±0.17 at 24h,90 days,Primary RV/LV change
ULTIMA_2014,UFH alone,AC,29,1,NR,0,0,0 recurrent VTE,RV/LV 1.20±0.14 to 1.17±0.20 at 24h,90 days,One death in heparin group
PEITHO_2014,Tenecteplase + heparin,ST,506,6 by day 7; verify table,Hemodynamic decompensation/collapse 8; primary composite 13,Major extracranial bleeding 32,ICH 10; stroke 12,NR,NR,7/30 days,Counts from known PEITHO report; recheck against PDF table before analysis
PEITHO_2014,Placebo + heparin,AC,499,9 by day 7; verify table,Hemodynamic decompensation/collapse 25; primary composite 28,Major extracranial bleeding 6,ICH 1; stroke 1,NR,NR,7/30 days,Counts from known PEITHO report; recheck against PDF table before analysis
SUNSET_sPE_2021,USAT/EKOS,USCDT,approx 40; verify,NR,NR,NR,NR,NR,Pulmonary arterial thrombus reduction; exact RV/LV to extract,48 h primary,Head-to-head imaging endpoint
SUNSET_sPE_2021,Standard CDT,CDT,approx 41; verify,NR,NR,NR,NR,NR,Pulmonary arterial thrombus reduction; exact RV/LV to extract,48 h primary,Head-to-head imaging endpoint
CANARY_2022,cCDT + anticoagulation,CDT,48,3-month mortality included as secondary; exact count to verify,Death or RV/LV >0.9 composite lower; exact full line to verify,1 major GI bleeding,NR,NR,RV/LV >0.9 at 72h: 13/48; at 3mo primary: 2/46,72 h/3 months,Completed 3-month echo n=85
CANARY_2022,Anticoagulation,AC,46,3-month mortality included as secondary; exact count to verify,Death or RV/LV >0.9 composite; exact full line to verify,0? verify,NR,NR,RV/LV >0.9 at 72h: 24/46; at 3mo primary: 5/39,72 h/3 months,Completed 3-month echo n=85
PEERLESS_2025,FlowTriever LBMT,LBAT,274,No significant difference vs CDT; exact count to extract,Clinical deterioration/bailout 1.8%,No significant difference; exact count to extract,No significant difference; exact count to extract,NR,RV/LV ratio reduction 0.32±0.24,discharge/7 days,Primary win-ratio composite
PEERLESS_2025,CDT mixed,CDT,276,No significant difference vs LBMT; exact count to extract,Clinical deterioration/bailout 5.4%,No significant difference; exact count to extract,No significant difference; exact count to extract,NR,RV/LV ratio reduction 0.30±0.26,discharge/7 days,CDT arm includes USCDT/standard/pharmacomechanical CDT; sensitivity needed
STORM_PE_2025,CAVT/Penumbra + AC,CAT,47,NR,NR,Safety outcomes at 7 days; exact count to extract,NR,NR,Primary: RV/LV ratio change at 48h; exact value to extract,48 h/7 d/90 d,Penumbra Lightning Flash 16F
STORM_PE_2025,AC alone,AC,53,NR,NR,Safety outcomes at 7 days; exact count to extract,NR,NR,Primary: RV/LV ratio change at 48h; exact value to extract,48 h/7 d/90 d,Intermediate-high risk
STRATIFY_2026,USAT low-dose alteplase,USCDT,70,Death increased with low-dose thrombolysis; exact count to extract,Clinical endpoints assessed; exact count to extract,Bleeding numerically more frequent; exact count to extract,NR,NR,rmMS reduction; RV/LV not primary,48-96 h/3 mo,20 mg alteplase via USAT
STRATIFY_2026,IV low-dose alteplase,ST,70,Death increased with low-dose thrombolysis; exact count to extract,Clinical endpoints assessed; exact count to extract,Bleeding numerically more frequent; exact count to extract,NR,NR,rmMS reduction; RV/LV not primary,48-96 h/3 mo,20 mg IV alteplase; low-dose flag
STRATIFY_2026,Heparin alone,AC,70,Exact count to extract,Clinical endpoints assessed; exact count to extract,Exact count to extract,NR,NR,rmMS reduction comparator,48-96 h/3 mo,AC comparator
PRETHA_2026,Penumbra Indigo CAT8 thrombectomy,CAT,13,NR,NR,Adverse events 1/13? verify event type,NR,NR,RV/LV decreased by 0.3; PAP decreased 29%,48 h/12 mo,Small 3-arm trial
PRETHA_2026,Trans-catheter thrombolysis,CDT,to verify,NR,NR,Adverse events highest 38%; exact denominator to verify,NR,NR,RV/LV decreased by 0.4; PAP decreased 39%,48 h/12 mo,Need arm n from table
PRETHA_2026,Anticoagulation,AC,to verify,NR,NR,NR,NR,NR,Comparator for echo/hemodynamic changes,48 h/12 mo,Need arm n from table
HI_PEITHO_2026,USCDT + AC,USCDT,to extract,Primary composite 11 patients? confirm arm and denominator,Primary composite within 7d; exact count to extract,30d major bleeding exact count to extract,No ICH reported,Primary includes nonfatal symptomatic recurrent PE,NR,7/30 days,Large clinical-outcome RCT
HI_PEITHO_2026,AC alone,AC,to extract,Primary composite exact count to extract,Primary composite within 7d; exact count to extract,30d major bleeding exact count to extract,No ICH reported,Primary includes nonfatal symptomatic recurrent PE,NR,7/30 days,Large clinical-outcome RCT
MAPPET3_2002,Heparin + alteplase,ST,118,Exact count to extract,Death or clinical deterioration; exact count to extract,Exact count to extract,Exact count to extract,Exact count to extract,NR,in-hospital/30d,Classic submassive PE trial
MAPPET3_2002,Heparin alone,AC,138,Exact count to extract,Death or clinical deterioration; exact count to extract,Exact count to extract,Exact count to extract,Exact count to extract,NR,in-hospital/30d,Classic submassive PE trial
HAIRE_1993,Alteplase,ST,NR,NR,NR,NR,NR,NR,NR,OCR needed,Do not analyze yet
HAIRE_1993,Heparin,AC,NR,NR,NR,NR,NR,NR,NR,OCR needed,Do not analyze yet
CDT_PILOT_2022,CDT alteplase 20 mg,CDT,12,NR,Primary efficacy endpoint achieved more frequently; exact count to extract,NR,NR,NR,RV function/clot burden/normotension endpoint,24/48 h,Pilot RCT
CDT_PILOT_2022,Standard anticoagulation,AC,11,NR,Primary efficacy endpoint lower; exact count to extract,NR,NR,NR,RV function/clot burden/normotension endpoint,24/48 h,Pilot RCT
FASULLO_2011,Thrombolysis + heparin,ST,37,Exact count to extract,Clinical worsening/echo outcomes to extract,Exact count to extract,NR,Exact count to extract,RV/PASP outcomes at 6 months,6 months,Duplicate source from prior batch
FASULLO_2011,Heparin/placebo,AC,35,Exact count to extract,Clinical worsening/echo outcomes to extract,Exact count to extract,NR,Exact count to extract,RV/PASP outcomes at 6 months,6 months,Duplicate source from prior batch
SINHA_2017,Tenecteplase + UFH,ST,to verify,Exact count to extract,Hemodynamic decompensation; exact count to extract,Exact count to extract,Hemorrhagic stroke; exact count to extract,Exact count to extract,NR,short-term,Arm n to verify
SINHA_2017,Placebo + UFH,AC,to verify,Exact count to extract,Hemodynamic decompensation; exact count to extract,Exact count to extract,Hemorrhagic stroke; exact count to extract,Exact count to extract,NR,short-term,Arm n to verify
ZHANG_2018,Low-dose rt-PA + LMWH,ST,33,Exact count to extract,Clinical efficacy outcome; exact count to extract,Exact count to extract,Exact count to extract,Exact count to extract,RV/PAP outcomes to extract,to verify,Low-dose ST flag
ZHANG_2018,LMWH,AC,33,Exact count to extract,Clinical efficacy outcome; exact count to extract,Exact count to extract,Exact count to extract,Exact count to extract,RV/PAP outcomes to extract,to verify,Low-dose ST comparator
MOPETT_2013,Safe-dose tPA + AC,ST,61,No significant difference; exact count to extract,Pulmonary hypertension 9/61; PH+recurrent PE composite exact table,0,0,No recurrent PE reported in TG? verify table,PASP/PH endpoint,28 months,Risk mapping pending
MOPETT_2013,AC alone,AC,60,No significant difference; exact count to extract,Pulmonary hypertension 32/60; PH+recurrent PE composite exact table,0,0,recurrent PE exact count to extract,PASP/PH endpoint,28 months,Risk mapping pending
AHMED_2018,Streptokinase + anticoagulation,ST,to verify,Exact count to extract,Exact count to extract,Exact count to extract,NR,Exact count to extract,RVD/PAP/biomarker to extract,to verify,Prior batch
AHMED_2018,Anticoagulation,AC,to verify,Exact count to extract,Exact count to extract,Exact count to extract,NR,Exact count to extract,RVD/PAP/biomarker to extract,to verify,Prior batch
