"study_id","short_name","arm_label","node","n_randomized_or_analyzed","risk_mapping_v0.2","death_7d_n","death_followup_n","clinical_deterioration_n","primary_clinical_composite_n","major_bleeding_n","major_bleeding_definition","intracranial_hemorrhage_n","recurrent_pe_n","rv_lv_or_rv_recovery_locked","follow_up_locked","locked_status_v0.2","ready_death_nma","ready_clinical_deterioration_nma","ready_major_bleeding_nma","ready_ich_nma","source_note_v0.2","n","event"
"TOPCOAT_2014","TOPCOAT","Tenecteplase","ST",40,"intermediate-risk; mixed low/intermediate-high features",NA,1,1,6,1,"Author-defined major bleeding",1,NA,NA,"5 days and 90 days","core locked; outcome harmonization needed","yes","sensitivity","yes","yes","Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.",40,1
"TOPCOAT_2014","TOPCOAT","Placebo + anticoagulation","AC",43,"intermediate-risk; mixed low/intermediate-high features",NA,1,3,16,0,"Author-defined major bleeding",0,NA,NA,"5 days and 90 days","core locked; outcome harmonization needed","yes","sensitivity","yes","yes","Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days.",43,0
"ULTIMA_2014","ULTIMA","USAT/USCDT + UFH","USCDT",30,"intermediate-risk by RV/LV >=1; biomarker not required",NA,0,0,NA,0,"Author-defined major bleeding",0,0,"1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20","90 days","core locked","yes","yes","yes","yes","Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.",30,0
"ULTIMA_2014","ULTIMA","UFH alone","AC",29,"intermediate-risk by RV/LV >=1; biomarker not required",NA,1,0,NA,0,"Author-defined major bleeding",0,0,"1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16","90 days","core locked","yes","yes","yes","yes","Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",29,0
"PEITHO_2014","PEITHO","Tenecteplase + heparin","ST",506,"intermediate-high PE: RV dysfunction + positive troponin",6,12,8,13,58,"ISTH major bleeding",10,NA,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.",506,10
"PEITHO_2014","PEITHO","Placebo + heparin","AC",499,"intermediate-high PE: RV dysfunction + positive troponin",9,16,25,28,12,"ISTH major bleeding",1,NA,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",499,1
"PEERLESS_2025","PEERLESS","FlowTriever LBMT","LBAT",274,"intermediate-risk, mostly intermediate-high",0,1,5,NA,19,"Author-defined major bleeding",2,NA,"Mean RV/LV reduction 0.32+/-0.24 at 24h","discharge/7 days and 30 days","core locked; CDT comparator is mixed","yes","yes","yes","yes","Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%.",274,2
"PEERLESS_2025","PEERLESS","CDT mixed","CDT",276,"intermediate-risk, mostly intermediate-high",1,2,15,NA,19,"Author-defined major bleeding",1,NA,"Mean RV/LV reduction 0.30+/-0.26 at 24h","discharge/7 days and 30 days","core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT","yes","yes","yes","yes","Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.",276,1
"HI_PEITHO_2026","HI-PEITHO","USCDT + AC","USCDT",273,"acute intermediate-risk PE with cardiorespiratory distress",3,5,10,11,11,"ISTH major bleeding",0,1,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.",273,0
"HI_PEITHO_2026","HI-PEITHO","AC alone","AC",271,"acute intermediate-risk PE with cardiorespiratory distress",2,3,28,28,8,"ISTH major bleeding",0,2,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3.",271,0
