"study_id","short_name","arm_label","node","n_randomized_or_analyzed","risk_mapping_v0.2","death_7d_n","death_followup_n","clinical_deterioration_n","primary_clinical_composite_n","major_bleeding_n","major_bleeding_definition","intracranial_hemorrhage_n","recurrent_pe_n","rv_lv_or_rv_recovery_locked","follow_up_locked","locked_status_v0.2","ready_death_nma","ready_clinical_deterioration_nma","ready_major_bleeding_nma","ready_ich_nma","source_note_v0.2","n","event"
"TOPCOAT_2014","TOPCOAT","Tenecteplase","ST",40,"intermediate-risk; mixed low/intermediate-high features",NA,1,1,6,1,"Author-defined major bleeding",1,NA,NA,"5 days and 90 days","core locked; outcome harmonization needed","yes","sensitivity","yes","yes","Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.",40,6
"TOPCOAT_2014","TOPCOAT","Placebo + anticoagulation","AC",43,"intermediate-risk; mixed low/intermediate-high features",NA,1,3,16,0,"Author-defined major bleeding",0,NA,NA,"5 days and 90 days","core locked; outcome harmonization needed","yes","sensitivity","yes","yes","Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days.",43,16
"PEITHO_2014","PEITHO","Tenecteplase + heparin","ST",506,"intermediate-high PE: RV dysfunction + positive troponin",6,12,8,13,58,"ISTH major bleeding",10,NA,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.",506,13
"PEITHO_2014","PEITHO","Placebo + heparin","AC",499,"intermediate-high PE: RV dysfunction + positive troponin",9,16,25,28,12,"ISTH major bleeding",1,NA,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",499,28
"CANARY_2022","CANARY","cCDT + anticoagulation","CDT",48,"intermediate-high PE",NA,0,NA,2,1,"BARC type 3 or 5",NA,NA,"72h RV/LV>0.9: 13/48; 3mo RV/LV>0.9: 2/46; unrecovered RV 3/46","72h and 3 months","core locked for death/bleeding/RV; ICH not separately reported","yes","sensitivity","yes","no","Table 2: 3mo all-cause mortality 0/48; composite mortality or primary outcome 2/48; BARC 3/5 1/48.",48,2
"CANARY_2022","CANARY","Anticoagulation","AC",46,"intermediate-high PE",NA,3,NA,8,0,"BARC type 3 or 5",NA,NA,"72h RV/LV>0.9: 24/46; 3mo RV/LV>0.9: 5/39; unrecovered RV 11/39","72h and 3 months","core locked for death/bleeding/RV; ICH not separately reported","yes","sensitivity","yes","no","Table 2: 3mo all-cause mortality 3/46; composite mortality or primary outcome 8/46; BARC 3/5 0.",46,8
"STORM_PE_2025","STORM-PE","CAVT/Penumbra + AC","CAT",47,"intermediate-high PE",2,NA,1,2,1,"BARC major bleeding",NA,0,"Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37","48h, 7 days, 90 days planned","core locked; ICH not separately stated","yes","yes","yes","no","Text: MAE 2/47; clinical deterioration 1; two PE-related deaths; major bleeding 1; recurrent PE 0.",47,2
"STORM_PE_2025","STORM-PE","AC alone","AC",53,"intermediate-high PE",0,NA,3,4,1,"BARC major bleeding",NA,0,"Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40","48h, 7 days, 90 days planned","core locked; ICH not separately stated","yes","yes","yes","no","Text: MAE 4/53; clinical deterioration requiring rescue 3; major bleeding 1; recurrent PE 0.",53,4
"HI_PEITHO_2026","HI-PEITHO","USCDT + AC","USCDT",273,"acute intermediate-risk PE with cardiorespiratory distress",3,5,10,11,11,"ISTH major bleeding",0,1,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.",273,11
"HI_PEITHO_2026","HI-PEITHO","AC alone","AC",271,"acute intermediate-risk PE with cardiorespiratory distress",2,3,28,28,8,"ISTH major bleeding",0,2,NA,"7 and 30 days","core locked","yes","yes","yes","yes","Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3.",271,28
