study_id,short_name,arm_label,node,n_randomized_or_analyzed,risk_mapping_v0.2,death_7d_n,death_followup_n,clinical_deterioration_n,primary_clinical_composite_n,major_bleeding_n,major_bleeding_definition,intracranial_hemorrhage_n,recurrent_pe_n,rv_lv_or_rv_recovery_locked,follow_up_locked,locked_status_v0.2,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,source_note_v0.2,event,n,treat,studlab,ready
TOPCOAT_2014,TOPCOAT,Tenecteplase,ST,40,intermediate-risk; mixed low/intermediate-high features,NA,1,1,6,1,Author-defined major bleeding,1,NA,NA,5 days and 90 days,core locked; outcome harmonization needed,yes,sensitivity,yes,yes,Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.,1,40,ST,TOPCOAT_2014,TRUE
TOPCOAT_2014,TOPCOAT,Placebo + anticoagulation,AC,43,intermediate-risk; mixed low/intermediate-high features,NA,1,3,16,0,Author-defined major bleeding,0,NA,NA,5 days and 90 days,core locked; outcome harmonization needed,yes,sensitivity,yes,yes,"Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days.",0,43,AC,TOPCOAT_2014,TRUE
ULTIMA_2014,ULTIMA,USAT/USCDT + UFH,USCDT,30,intermediate-risk by RV/LV >=1; biomarker not required,NA,0,0,NA,0,Author-defined major bleeding,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,90 days,core locked,yes,yes,yes,yes,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.",0,30,USCDT,ULTIMA_2014,TRUE
ULTIMA_2014,ULTIMA,UFH alone,AC,29,intermediate-risk by RV/LV >=1; biomarker not required,NA,1,0,NA,0,Author-defined major bleeding,0,0,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,90 days,core locked,yes,yes,yes,yes,"Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,29,AC,ULTIMA_2014,TRUE
MAPPET3_2002,MAPPET-3,Heparin + alteplase,ST,118,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,4,12,13,1,Author-defined major bleeding,0,4,NA,in-hospital or day 30,core locked,yes,yes,yes,yes,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.",1,118,ST,MAPPET3_2002,TRUE
MAPPET3_2002,MAPPET-3,Heparin + placebo,AC,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,3,34,34,5,Author-defined major bleeding,0,4,NA,in-hospital or day 30,core locked,yes,yes,yes,yes,"Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",5,138,AC,MAPPET3_2002,TRUE
FASULLO_2011,Fasullo 2011,Thrombolysis + heparin,ST,37,submassive PE with RVD; biomarker mixed/unclear,NA,0,0,NA,2,Author-defined major bleeding,0,0,RV function improved earlier; detailed echo table locked in source,10 days and 180 days,core locked,yes,yes,yes,yes,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.",2,37,ST,FASULLO_2011,TRUE
FASULLO_2011,Fasullo 2011,Heparin/placebo,AC,35,submassive PE with RVD; biomarker mixed/unclear,NA,5,2,NA,1,Author-defined major bleeding,0,4,NA,10 days and 180 days,core locked,yes,yes,yes,yes,"Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",1,35,AC,FASULLO_2011,TRUE
SINHA_2017,Sinha 2017,Tenecteplase + UFH,ST,45,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,2,1,Author-defined major bleeding,1,2,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.",1,45,ST,SINHA_2017,TRUE
SINHA_2017,Sinha 2017,Placebo + UFH,AC,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,8,8,1,Author-defined major bleeding,0,1,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",1,41,AC,SINHA_2017,TRUE
