study_id,short_name,arm_label,node,n_randomized_or_analyzed,risk_mapping_v0.2,death_7d_n,death_followup_n,clinical_deterioration_n,primary_clinical_composite_n,major_bleeding_n,major_bleeding_definition,intracranial_hemorrhage_n,recurrent_pe_n,rv_lv_or_rv_recovery_locked,follow_up_locked,locked_status_v0.2,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,source_note_v0.2,event,n,treat,studlab,ready
PEITHO_2014,PEITHO,Tenecteplase + heparin,ST,506,intermediate-high PE: RV dysfunction + positive troponin,6,12,8,13,58,ISTH major bleeding,10,NA,NA,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.",12,506,ST,PEITHO_2014,TRUE
PEITHO_2014,PEITHO,Placebo + heparin,AC,499,intermediate-high PE: RV dysfunction + positive troponin,9,16,25,28,12,ISTH major bleeding,1,NA,NA,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",16,499,AC,PEITHO_2014,TRUE
CANARY_2022,CANARY,cCDT + anticoagulation,CDT,48,intermediate-high PE,NA,0,NA,2,1,BARC type 3 or 5,NA,NA,72h RV/LV>0.9: 13/48; 3mo RV/LV>0.9: 2/46; unrecovered RV 3/46,72h and 3 months,core locked for death/bleeding/RV; ICH not separately reported,yes,sensitivity,yes,no,Table 2: 3mo all-cause mortality 0/48; composite mortality or primary outcome 2/48; BARC 3/5 1/48.,0,48,CDT,CANARY_2022,TRUE
CANARY_2022,CANARY,Anticoagulation,AC,46,intermediate-high PE,NA,3,NA,8,0,BARC type 3 or 5,NA,NA,72h RV/LV>0.9: 24/46; 3mo RV/LV>0.9: 5/39; unrecovered RV 11/39,72h and 3 months,core locked for death/bleeding/RV; ICH not separately reported,yes,sensitivity,yes,no,Table 2: 3mo all-cause mortality 3/46; composite mortality or primary outcome 8/46; BARC 3/5 0.,3,46,AC,CANARY_2022,TRUE
PEERLESS_2025,PEERLESS,FlowTriever LBMT,LBAT,274,"intermediate-risk, mostly intermediate-high",0,1,5,NA,19,Author-defined major bleeding,2,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h,discharge/7 days and 30 days,core locked; CDT comparator is mixed,yes,yes,yes,yes,"Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%.",1,274,LBAT,PEERLESS_2025,TRUE
PEERLESS_2025,PEERLESS,CDT mixed,CDT,276,"intermediate-risk, mostly intermediate-high",1,2,15,NA,19,Author-defined major bleeding,1,NA,Mean RV/LV reduction 0.30+/-0.26 at 24h,discharge/7 days and 30 days,"core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT",yes,yes,yes,yes,Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.,2,276,CDT,PEERLESS_2025,TRUE
STRATIFY_2026,STRATIFY,USAT low-dose alteplase,USCDT,71,intermediate-high PE by ESC criteria,2,2,1,NA,6,ISTH major bleeding; TIMI major also reported,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,48-96h imaging and 3 months,core locked for STRATIFY v0.3; ICH arm-specific not reported,yes,yes,yes,no,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,2,71,USCDT,STRATIFY_2026,TRUE
STRATIFY_2026,STRATIFY,IV low-dose alteplase,ST,70,intermediate-high PE by ESC criteria; low-dose ST sensitivity,0,4,2,NA,6,ISTH major bleeding; TIMI major also reported,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,48-96h imaging and 3 months,core locked for STRATIFY v0.3; ICH arm-specific not reported,yes,yes,yes,no,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,4,70,ST,STRATIFY_2026,TRUE
STRATIFY_2026,STRATIFY,Heparin alone,AC,69,intermediate-high PE by ESC criteria,0,0,2,NA,1,ISTH major bleeding; TIMI major also reported,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,48-96h imaging and 3 months,core locked for STRATIFY v0.3; ICH arm-specific not reported,yes,yes,yes,no,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,0,69,AC,STRATIFY_2026,TRUE
HI_PEITHO_2026,HI-PEITHO,USCDT + AC,USCDT,273,acute intermediate-risk PE with cardiorespiratory distress,3,5,10,11,11,ISTH major bleeding,0,1,NA,7 and 30 days,core locked,yes,yes,yes,yes,"Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.",5,273,USCDT,HI_PEITHO_2026,TRUE
