study_id,short_name,arm_label,node,n_randomized_or_analyzed,risk_mapping_v0.2,death_7d_n,death_followup_n,clinical_deterioration_n,primary_clinical_composite_n,major_bleeding_n,major_bleeding_definition,intracranial_hemorrhage_n,recurrent_pe_n,rv_lv_or_rv_recovery_locked,follow_up_locked,locked_status_v0.2,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,source_note_v0.2,event,n,treat,studlab,ready
ULTIMA_2014,ULTIMA,USAT/USCDT + UFH,USCDT,30,intermediate-risk by RV/LV >=1; biomarker not required,NA,0,0,NA,0,Author-defined major bleeding,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,90 days,core locked,yes,yes,yes,yes,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.",0,30,USCDT,ULTIMA_2014,TRUE
ULTIMA_2014,ULTIMA,UFH alone,AC,29,intermediate-risk by RV/LV >=1; biomarker not required,NA,1,0,NA,0,Author-defined major bleeding,0,0,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,90 days,core locked,yes,yes,yes,yes,"Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,29,AC,ULTIMA_2014,TRUE
MAPPET3_2002,MAPPET-3,Heparin + alteplase,ST,118,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,4,12,13,1,Author-defined major bleeding,0,4,NA,in-hospital or day 30,core locked,yes,yes,yes,yes,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.",12,118,ST,MAPPET3_2002,TRUE
MAPPET3_2002,MAPPET-3,Heparin + placebo,AC,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,3,34,34,5,Author-defined major bleeding,0,4,NA,in-hospital or day 30,core locked,yes,yes,yes,yes,"Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",34,138,AC,MAPPET3_2002,TRUE
FASULLO_2011,Fasullo 2011,Thrombolysis + heparin,ST,37,submassive PE with RVD; biomarker mixed/unclear,NA,0,0,NA,2,Author-defined major bleeding,0,0,RV function improved earlier; detailed echo table locked in source,10 days and 180 days,core locked,yes,yes,yes,yes,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.",0,37,ST,FASULLO_2011,TRUE
FASULLO_2011,Fasullo 2011,Heparin/placebo,AC,35,submassive PE with RVD; biomarker mixed/unclear,NA,5,2,NA,1,Author-defined major bleeding,0,4,NA,10 days and 180 days,core locked,yes,yes,yes,yes,"Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",2,35,AC,FASULLO_2011,TRUE
SINHA_2017,Sinha 2017,Tenecteplase + UFH,ST,45,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,2,1,Author-defined major bleeding,1,2,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.",2,45,ST,SINHA_2017,TRUE
SINHA_2017,Sinha 2017,Placebo + UFH,AC,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,8,8,1,Author-defined major bleeding,0,1,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,7 and 30 days,core locked,yes,yes,yes,yes,"Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",8,41,AC,SINHA_2017,TRUE
ZHANG_2018,Zhang 2018,Low-dose rt-PA + LMWH,ST,33,acute intermediate-risk PE; low-dose ST sensitivity,NA,0,0,NA,0,Author-defined major bleeding,0,1,1.26+/-0.22 to 0.96+/-0.18 at 24h,90 days,core locked,yes,yes,yes,yes,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.,0,33,ST,ZHANG_2018,TRUE
ZHANG_2018,Zhang 2018,LMWH,AC,33,acute intermediate-risk PE,NA,0,3,NA,0,Author-defined major bleeding,0,2,1.22+/-0.19 to 1.17+/-0.21 at 24h,90 days,core locked,yes,yes,yes,yes,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.,3,33,AC,ZHANG_2018,TRUE
