studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr1,incr2,study_id,short_name,major_bleeding_definition,follow_up_locked,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,studlab.orig,ready,arm_label1,arm_label2,node1,node2,n_randomized_or_analyzed1,n_randomized_or_analyzed2,risk_mapping_v0.21,risk_mapping_v0.22,death_7d_n1,death_7d_n2,death_followup_n1,death_followup_n2,clinical_deterioration_n1,clinical_deterioration_n2,primary_clinical_composite_n1,primary_clinical_composite_n2,major_bleeding_n1,major_bleeding_n2,intracranial_hemorrhage_n1,intracranial_hemorrhage_n2,recurrent_pe_n1,recurrent_pe_n2,rv_lv_or_rv_recovery_locked1,rv_lv_or_rv_recovery_locked2,locked_status_v0.21,locked_status_v0.22,source_note_v0.21,source_note_v0.22,event.orig1,event.orig2,n.orig1,n.orig2,treat.orig1,treat.orig2
ULTIMA_2014,USCDT,AC,NA,NA,0,30,0,29,0,0,ULTIMA_2014,ULTIMA,Author-defined major bleeding,90 days,yes,yes,yes,yes,ULTIMA_2014,TRUE,USAT/USCDT + UFH,UFH alone,USCDT,AC,30,29,intermediate-risk by RV/LV >=1; biomarker not required,intermediate-risk by RV/LV >=1; biomarker not required,NA,NA,0,1,0,0,NA,NA,0,0,0,0,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,core locked,core locked,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.","Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,0,30,29,USCDT,AC
PEITHO_2014,ST,AC,-1.1888270385179414,0.4112392694890218,8,506,25,499,0,0,PEITHO_2014,PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,PEITHO_2014,TRUE,Tenecteplase + heparin,Placebo + heparin,ST,AC,506,499,intermediate-high PE: RV dysfunction + positive troponin,intermediate-high PE: RV dysfunction + positive troponin,6,9,12,16,8,25,13,28,58,12,10,1,NA,NA,NA,NA,core locked,core locked,"Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.","Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",8,25,506,499,ST,AC
PEERLESS_2025,LBAT,CDT,-1.1288032609472554,0.5236559523295299,5,274,15,276,0,0,PEERLESS_2025,PEERLESS,Author-defined major bleeding,discharge/7 days and 30 days,yes,yes,yes,yes,PEERLESS_2025,TRUE,FlowTriever LBMT,CDT mixed,LBAT,CDT,274,276,"intermediate-risk, mostly intermediate-high","intermediate-risk, mostly intermediate-high",0,1,1,2,5,15,NA,NA,19,19,2,1,NA,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h,Mean RV/LV reduction 0.30+/-0.26 at 24h,core locked; CDT comparator is mixed,"core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT","Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%.",Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.,5,15,274,276,LBAT,CDT
STORM_PE_2025,CAT,AC,-1.0152306797290587,1.1726348382033156,1,47,3,53,0,0,STORM_PE_2025,STORM-PE,BARC major bleeding,"48h, 7 days, 90 days planned",yes,yes,yes,no,STORM_PE_2025,TRUE,CAVT/Penumbra + AC,AC alone,CAT,AC,47,53,intermediate-high PE,intermediate-high PE,2,0,NA,NA,1,3,2,4,1,1,NA,NA,0,0,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40,core locked; ICH not separately stated,core locked; ICH not separately stated,Text: MAE 2/47; clinical deterioration 1; two PE-related deaths; major bleeding 1; recurrent PE 0.,Text: MAE 4/53; clinical deterioration requiring rescue 3; major bleeding 1; recurrent PE 0.,1,3,47,53,CAT,AC
STRATIFY_2026,USCDT,AC,-0.7369498032183383,1.236612747556826,1,71,2,69,0,0,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,USAT low-dose alteplase,Heparin alone,USCDT,AC,71,69,intermediate-high PE by ESC criteria,intermediate-high PE by ESC criteria,2,0,2,0,1,2,NA,NA,6,1,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,1,2,71,69,USCDT,AC
STRATIFY_2026,USCDT,ST,-0.7221347174331976,1.2365239975991793,1,71,2,70,0,0,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,USAT low-dose alteplase,IV low-dose alteplase,USCDT,ST,71,70,intermediate-high PE by ESC criteria,intermediate-high PE by ESC criteria; low-dose ST sensitivity,2,0,2,4,1,2,NA,NA,6,6,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,1,2,71,70,USCDT,ST
STRATIFY_2026,ST,AC,-0.014815085785140587,1.0147074728646033,2,70,2,69,0,0,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,IV low-dose alteplase,Heparin alone,ST,AC,70,69,intermediate-high PE by ESC criteria; low-dose ST sensitivity,intermediate-high PE by ESC criteria,0,0,4,0,2,2,NA,NA,6,1,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,2,2,70,69,ST,AC
HI_PEITHO_2026,USCDT,AC,-1.1087120060183744,0.378987853922201,10,273,28,271,0,0,HI_PEITHO_2026,HI-PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,HI_PEITHO_2026,TRUE,USCDT + AC,AC alone,USCDT,AC,273,271,acute intermediate-risk PE with cardiorespiratory distress,acute intermediate-risk PE with cardiorespiratory distress,3,2,5,3,10,28,11,28,11,8,0,0,1,2,NA,NA,core locked,core locked,"Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.","Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3.",10,28,273,271,USCDT,AC
MAPPET3_2002,ST,AC,-1.0605020697988556,0.3630350464056483,12,118,34,138,0,0,MAPPET3_2002,MAPPET-3,Author-defined major bleeding,in-hospital or day 30,yes,yes,yes,yes,MAPPET3_2002,TRUE,Heparin + alteplase,Heparin + placebo,ST,AC,118,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required","submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,NA,4,3,12,34,13,34,1,5,0,0,4,4,NA,NA,core locked,core locked,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.","Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",12,34,118,138,ST,AC
FASULLO_2011,ST,AC,-1.7222334065794447,1.567328112724111,0,37,2,35,0.5,0.5,FASULLO_2011,Fasullo 2011,Author-defined major bleeding,10 days and 180 days,yes,yes,yes,yes,FASULLO_2011,TRUE,Thrombolysis + heparin,Heparin/placebo,ST,AC,37,35,submassive PE with RVD; biomarker mixed/unclear,submassive PE with RVD; biomarker mixed/unclear,NA,NA,0,5,0,2,NA,NA,2,1,0,0,0,4,RV function improved earlier; detailed echo table locked in source,NA,core locked,core locked,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.","Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",0,2,37,35,ST,AC
SINHA_2017,ST,AC,-1.6509869153469727,0.823746832623057,2,45,8,41,0,0,SINHA_2017,Sinha 2017,Author-defined major bleeding,7 and 30 days,yes,yes,yes,yes,SINHA_2017,TRUE,Tenecteplase + UFH,Placebo + UFH,ST,AC,45,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,2,2,8,2,8,1,1,1,0,2,1,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,core locked,core locked,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.","Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",2,8,45,41,ST,AC
ZHANG_2018,ST,AC,-2.0397289042729683,1.5324333320666332,0,33,3,33,0.5,0.5,ZHANG_2018,Zhang 2018,Author-defined major bleeding,90 days,yes,yes,yes,yes,ZHANG_2018,TRUE,Low-dose rt-PA + LMWH,LMWH,ST,AC,33,33,acute intermediate-risk PE; low-dose ST sensitivity,acute intermediate-risk PE,NA,NA,0,0,0,3,NA,NA,0,0,0,0,1,2,1.26+/-0.22 to 0.96+/-0.18 at 24h,1.22+/-0.19 to 1.17+/-0.21 at 24h,core locked,core locked,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.,0,3,33,33,ST,AC
